movie_id,title,overview,language,rating,genres,keywords,is_regional
284052,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",en,7.418,"['Fantasy', 'Adventure', 'Action']","['magic', 'superhero', 'training', 'time', 'based on comic', 'sorcerer', 'doctor', 'neurosurgeon', 'injury', 'wizard', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'interdimensional travel', 'ambiguous', 'ambivalent']",
434853,Space/Time,"After a fatal test shuts down their project, a disgraced team of scientists enters the criminal underworld to rebuild a forbidden space-bending engine that could rescue humanity or annihilate it entirely.",en,6.11,"['Science Fiction', 'Action', 'Thriller']","['future', 'dystopia', 'space travel', 'time machine', 'time', 'space', 'space time', 'science', 'crime', 'interstellar']",
1185528,Legends of the Condor Heroes: The Gallants,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",zh,6.886,"['Action', 'Drama', 'History']","['based on novel or book', 'absurd']",
621,Grease,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",en,7.372,"['Romance', 'Comedy']","['australia', 'high school', 'flying car', 'california', 'jealousy', 'street gang', 'cheerleader', 'dance competition', 'carnival', 'musical', 'based on play or musical', 'rivalry', 'high school graduation', 'high school friends', 'tv show in film', 'gossip', 'makeover', 'clique', 'greaser', 'school dance', 'animated credits', 'pep rally', 'wrong side of the tracks', 'mooning', 'opposites attract', 'letterman jacket', 'girl gang', 'track and field', 'summer romance', '1950s', 'sweethearts', 'street racing', 'west side story', 'goody two shoes', 'rival gang', 'going steady', 'two-faced']",
278154,Ice Age: Collision Course,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations.",en,6.113,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']","['fire', 'fireworks', 'mammoth', 'sequel', 'prehistory', 'singing', 'critically bashed', 'cavemen', 'meteor crash']",
937941,Shelby Oaks,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.,en,5.761,"['Horror', 'Mystery']","['rape', 'grave', 'ohio', 'woods', 'paranormal', 'paranormal investigation', 'evil', 'found footage', 'ghost town', 'video tape', 'supernatural horror', 'dreary', 'sisters', 'mysterious disappearance', 'body horror', 'missing']",
568124,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",en,7.571,"['Animation', 'Comedy', 'Family', 'Fantasy']","['strong woman', 'magic', 'sadness', 'immigration', 'supernatural', 'beauty', 'musical', 'big family', 'forest', 'family secrets', 'family relationships', 'flamenco', 'joy of life', 'teenage girl', 'female protagonist', 'family conflict', 'helping children', 'matriarch', 'colombia']",
10192,Shrek Forever After,"A midlife-crisis burdened Shrek, longing for the days when he felt like a real ogre, makes a pact with magic deal-maker Rumpelstiltskin. But when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",en,6.393,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']","['witch', 'villain', 'sequel', 'ogre']",
10830,Matilda,"Matilda Wormwood is an brilliant and intelligent little girl. Unfortunately, her parents, Harry and Zinnia, fail to see that fact. As time passes, she finally starts school and has a kind teacher, loyal friends, and a terrifying, sadistic headmistress. As she becomes fed up with the constant cruelty, she discovers she has a special gift that she just might be able to use to outwit the unruly adults around her.",en,7.173,"['Comedy', 'Family', 'Fantasy']","['based on novel or book', 'parent child relationship', 'classroom', 'difficult childhood', 'child prodigy', 'childhood trauma', 'dysfunctional family', 'telekinesis', 'school', 'teacher student relationship', 'used car salesman', 'school principal', 'neglected child', 'schoolmarm', 'dysfunctional life', 'female teacher', 'parental abuse', 'crass comedy', 'based on young adult novel', 'abused child', 'tyrannical school principal']",
49013,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,en,6.173,"['Animation', 'Family', 'Adventure', 'Comedy']","['car race', 'sports', 'spy', 'villain', 'sequel', 'anthropomorphism', 'best friend', 'british spy', 'duringcreditsstinger', 'grand prix', 'loving', 'cars']",
1290879,The Woman in Cabin 10,"On a lavish yacht for an assignment, a journalist sees a passenger go overboard. But when no one believes her, she risks her life to uncover the truth.",en,6.197,"['Mystery', 'Thriller', 'Crime']","['based on novel or book', 'boat', 'investigation', 'fake identity', 'murder', 'luxury yacht', 'mystery', 'melodramatic']",
1299655,Blue Moon,"On the evening of March 31, 1943, legendary lyricist Lorenz Hart confronts his shattered self-confidence in Sardi’s bar as his former collaborator, Richard Rodgers, celebrates the opening night of his ground-breaking hit musical, “Oklahoma!”",en,6.6,"['History', 'Drama', 'Comedy']","['lyricist', '1940s', 'witty']",
335797,Sing,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,en,7.122,"['Family', 'Comedy', 'Music', 'Animation']","['anthropomorphism', 'singing', 'animals', 'flood', 'singing competition', 'talking animal', '3d animation', 'brisk']",
